210806	218835
254368	219708
224436	221812
219118	203811
205833	226489
226473	224159
229205	212056
215283	209429
229237	232106
237248	200402
220664	235281
216170	247549
247186	216641
225555	240211
251710	219991
237806	201741
220523	239266
212421	222104
228962	222872
206100	226806
237920	258516
215868	213846
207484	223205
214120	214956
220072	209551
201339	211458
212257	206319
252422	213334
232628	228123
230911	209950
205436	225716
228674	205969
223252	229516
237423	218583
213974	232846
228721	215027
212739	208170
220455	219759
214824	219008
224484	219009
233237	245279
223201	221972
224650	205723
216361	214826
202381	210744
219107	203760
236579	215547
211597	196579
233175	223523
238366	218507
233227	220582
212841	230969
246343	223580
231480	224658
227080	189116
198954	230867
215907	223549
220549	234562
210217	203843
232448	224033
224131	211141
218970	202226
227865	232861
227435	218198
188413	217450
219141	212578
227373	216353
234771	211717
227819	221024
216820	251873
212773	211157
217533	207706
213302	212328
223179	214173
228109	232078
231384	225032
203672	201761
228595	236669
221071	228788
220651	201904
215088	229102
249973	210537
216884	222233
228504	233529
209289	226213
209118	217890
232250	211266
231115	201375
216858	228940
232409	196326
235796	217372
206903	241701
235293	229314
223961	212501
231433	221879
231474	240476
222213	230021
225709	233714
211280	205556
220135	207119
220198	195629
220964	202400
223280	220856
226422	233341
208831	242644
219629	204415
212646	249615
225164	195490
232406	231725
214974	206374
232633	215018
233173	212254
218071	223774
241580	231231
213932	223915
228918	238809
235771	227592
204564	205494
213658	201742
233183	217173
224825	219966
229639	214715
250219	221518
220620	209173
207452	216022
230629	209804
212546	231646
212966	211737
215611	221739
227747	212784
228865	217717
216098	228697
235593	234171
219724	220638
231774	209701
219758	228429
249013	216869
228071	221569
234176	196030
213320	218523
237133	228836
225167	218234
218703	254298
244063	226104
208792	219678
215448	181538
224298	200678
223024	234563
224664	223784
251117	207692
218079	227716
248819	211549
259699	237788
231980	226446
230533	208998
232074	223142
236831	222609
219979	201183
213512	217373
222913	202310
215701	226036
209302	190331
226769	228640
216888	234230
224153	202715
242299	208122
255930	211329
238886	226789
216798	205742
227644	217516
237605	201802
227532	233635
220362	224136
221138	228873
242270	202433
234512	243792
216079	236403
211458	229560
216783	227159
204831	220176
214052	209098
240083	216589
236121	240716
246806	222979
210054	226834
229767	245404
227783	230477
211837	234371
206760	222792
238993	214027
209794	220497
244590	213786
229440	228024
250120	232224
214239	199203
192414	204966
210992	244114
215472	214238
227034	240003
213497	217587
203605	212560
229196	231489
229205	223621
