0	0
100	522
200	1022
300	1914
400	2599
500	3389
600	3532
700	4171
800	4097
900	7435
1000	6742
1100	8367
1200	7713
1300	9236
1400	10367
1500	10016
1600	14461
1700	8353
1800	10990
1900	13123
2000	14836
2100	15305
2200	15548
2300	17552
2400	17643
2500	13025
2600	24145
2700	16989
2800	21069
2900	21240
3000	20904
3100	24892
3200	24064
3300	30037
3400	19658
3500	23548
3600	26202
3700	25776
3800	30836
3900	28134
4000	31323
4100	33084
4200	26176
4300	28810
4400	35649
4500	37724
4600	31508
4700	38253
4800	47404
4900	30006
5000	37777
5100	36957
5200	34504
5300	41053
5400	44383
5500	40531
5600	37181
5700	41110
5800	49712
5900	41536
6000	58947
6100	45645
6200	49524
6300	65940
6400	55693
6500	54513
6600	51220
6700	44236
6800	50833
6900	63875
7000	73775
7100	70249
7200	64740
7300	74827
7400	46818
7500	44377
7600	88088
7700	47013
7800	54608
7900	76399
8000	58488
8100	74507
8200	77721
8300	70937
8400	87170
8500	66424
8600	64909
8700	73048
8800	81161
8900	58776
9000	74725
9100	83376
9200	92885
9300	66789
9400	76671
9500	88813
9600	92425
9700	81612
9800	88077
9900	74603
10000	88977
